,Date,Open,High,Low,Close,Volume,Name
,2/29/2008,27.94,28.41,27.5,27.78,23860998,AABA
,3/3/2008,27.73,28.08,27.66,27.77,22765564,AABA
,3/4/2008,27.8,28.07,27.43,28.06,28305760,AABA
,3/5/2008,28,28.78,28,28.67,30281592,AABA
,3/6/2008,28.64,28.98,28.44,28.7,34591358,AABA
,3/7/2008,28.58,29.18,28.5,29.03,28267874,AABA
,3/10/2008,28.87,28.98,28.51,28.51,29708942,AABA
,3/11/2008,28.91,29.16,28.43,29,22562475,AABA
,3/12/2008,28.89,29.02,28.39,28.45,18338262,AABA
,3/13/2008,28.07,28.27,27.38,27.5,75635930,AABA
,3/14/2008,27.85,27.96,26.5,26.71,44392221,AABA
,3/17/2008,26.5,26.64,25.72,25.85,33771836,AABA
,3/18/2008,26.94,27.72,26.25,27.66,38074374,AABA
,3/19/2008,27.56,27.79,26.91,27.07,23317490,AABA
,3/20/2008,27.36,27.91,26.98,27.66,29866775,AABA
,3/24/2008,27.56,28.07,27.45,27.52,17360918,AABA
,3/25/2008,28.14,28.75,27.7,28.73,33909373,AABA
,3/26/2008,28.63,28.78,28.19,28.49,15271433,AABA
,3/27/2008,28.49,28.5,27.9,28.09,15558331,AABA
,3/28/2008,28.32,29.09,28.15,28.99,34277213,AABA
,3/31/2008,28.56,29.12,28.27,28.93,17228643,AABA
,4/1/2008,28.07,28.62,28.02,28.5,20490559,AABA
,4/2/2008,28.57,28.6,27.49,27.82,30180362,AABA
,4/3/2008,27.65,28.22,27.58,28.13,14535864,AABA
,4/4/2008,28,28.45,27.59,28.36,28400505,AABA
,4/7/2008,27.8,28.15,27.57,27.7,29466634,AABA
,4/8/2008,27.72,27.82,27.49,27.7,17943121,AABA
,4/9/2008,27.8,27.95,27.13,27.77,31772757,AABA
,4/10/2008,28.39,28.69,28.28,28.59,32784935,AABA
,4/11/2008,28.41,28.61,28.09,28.34,18428376,AABA
,4/14/2008,28.18,28.34,27.79,27.8,14163889,AABA
,4/15/2008,28.05,28.25,27.77,28.17,12096517,AABA
,4/16/2008,28.11,28.4,28.11,28.31,9208369,AABA
,4/17/2008,28.4,28.4,27.96,28.03,10884712,AABA
,4/18/2008,28.44,28.67,28.17,28.43,25286811,AABA
,4/21/2008,28.52,28.68,28.22,28.55,18368695,AABA
,4/22/2008,28.73,28.88,28.44,28.54,28563964,AABA
,4/23/2008,28.24,28.35,27.71,28.08,31134372,AABA
,4/24/2008,28.01,28.08,27.24,27.3,26038394,AABA
,4/25/2008,26.85,26.93,26.08,26.8,50523030,AABA
,4/28/2008,27,27.09,26.25,26.43,20874862,AABA
,4/29/2008,26.35,27.48,25.81,27.36,36687414,AABA
,4/30/2008,27.17,27.78,26.76,27.41,31034068,AABA
,5/1/2008,27.69,28.34,26.5,26.81,52070971,AABA
,5/2/2008,27.65,29.73,27.21,28.67,80177097,AABA
,5/5/2008,23.05,24.93,22.97,24.37,279318380,AABA
,5/6/2008,25.54,26.25,24.2,25.72,180099946,AABA
,5/7/2008,25.57,25.71,25.03,25.64,84698246,AABA
,5/8/2008,25.66,26.44,25.51,26.22,61308558,AABA
,5/9/2008,26.01,26.19,25.75,25.93,30671629,AABA
,5/12/2008,25.8,25.88,25.02,25.26,41333812,AABA
,5/13/2008,25.15,26.84,24.39,26.56,81351150,AABA
,5/14/2008,26.95,27.36,26.2,27.14,64571014,AABA
,5/15/2008,27.54,27.98,26.85,27.75,79748699,AABA
,5/16/2008,27.73,27.95,27.41,27.66,61318285,AABA
,5/19/2008,27.9,28.33,27.42,27.68,57102239,AABA
,5/20/2008,27.68,28.2,27.32,27.48,29450870,AABA
,5/21/2008,27.34,27.95,26.8,27.33,38325690,AABA
,5/22/2008,27.3,27.61,26.95,27.53,24737334,AABA
,5/23/2008,27.48,27.74,27.26,27.72,24049156,AABA
,5/27/2008,27.5,27.63,26.98,27,20703869,AABA
,5/28/2008,27.42,27.48,26.95,27.16,21785576,AABA
,5/29/2008,27.34,27.36,27,27.07,17913879,AABA
,5/30/2008,27.07,27.1,26.63,26.76,17757556,AABA
,6/2/2008,26.8,26.81,26.03,26.4,26379361,AABA
,6/3/2008,26.36,26.6,25.78,26.15,26163005,AABA
,6/4/2008,26.25,27.05,26.16,26.85,29982226,AABA
,6/5/2008,26.46,26.64,25.97,26.36,30167214,AABA
,6/6/2008,26.5,27.08,26.03,26.44,37756733,AABA
,6/9/2008,26.5,26.86,26.1,26.58,17278276,AABA
,6/10/2008,26.32,26.58,26.25,26.4,11855566,AABA
,6/11/2008,26.42,26.46,26,26.15,13319677,AABA
,6/12/2008,26.33,26.33,22.5,23.52,122412082,AABA
,6/13/2008,22.82,23.48,21.75,23.47,118452097,AABA
,6/16/2008,22.95,23.58,22.71,23.54,44711884,AABA
,6/17/2008,23.58,23.58,22.9,23.25,22812770,AABA
,6/18/2008,23.22,23.22,22.63,22.91,14259201,AABA
,6/19/2008,22.78,22.87,22.37,22.73,19010833,AABA
,6/20/2008,22.49,22.53,21.9,21.99,34603748,AABA
,6/23/2008,22.07,22.12,21.3,21.45,29820158,AABA
,6/24/2008,21.17,23.71,20.6,22.04,85211634,AABA
,6/25/2008,22,22.24,21.86,22.01,19530849,AABA
,6/26/2008,21.59,21.89,21.28,21.37,23998358,AABA
,6/27/2008,21.29,21.46,20.7,21.33,30235393,AABA
,6/30/2008,21.08,21.2,20.6,20.66,17176890,AABA
,7/1/2008,20.48,20.49,19.59,20.2,36642977,AABA
,7/2/2008,21.89,21.9,20.67,20.88,58444076,AABA
,7/3/2008,21.35,21.75,21.03,21.35,21925845,AABA
,7/7/2008,23.4,24.25,22.92,23.91,84245828,AABA
,7/8/2008,23.83,24.66,23.81,24.64,34247737,AABA
,7/9/2008,24.74,24.8,23.82,23.82,21990878,AABA
